# salience_rank	word	lift_rank	zipf	salience	lift	tf	idf	z_eff
# salience = 100 * sqrt(tf * idf); tf = norm(log10 modelled lift), idf = norm(8 - z_eff)
# z_eff = zipf, minus 1.5 if hyphenated, floored at 0.8 when wordfreq does not know the word
# scan.sh reads columns 1, 2 and 5; the rest show the working
# regenerate: uv run --with wordfreq --python 3.12 tools/rescore.py
111	rides	71	4.06	38.6	11.0	0.383	0.390	4.06
112	cites	114	3.61	38.6	9.6	0.314	0.474	3.61
113	flagging	193	2.83	38.4	8.2	0.238	0.620	2.83
114	restating	251	2.20	38.4	7.6	0.200	0.738	2.20
115	verbatim	171	3.07	38.3	8.5	0.256	0.575	3.07
116	symptom	116	3.64	38.2	9.5	0.312	0.468	3.64
117	refused	35	4.54	38.1	13.6	0.485	0.300	4.54
118	remedy	99	3.82	38.1	10.0	0.335	0.434	3.82
119	latent	155	3.27	38.1	8.7	0.270	0.537	3.27
120	honoured	113	3.70	38.0	9.6	0.316	0.457	3.70
121	drains	128	3.55	38.0	9.3	0.298	0.485	3.55
122	unrecognised	248	2.32	38.0	7.6	0.202	0.715	2.32
123	disagreement	119	3.66	37.8	9.5	0.308	0.464	3.66
124	unwired	327	1.45	37.7	7.0	0.162	0.878	1.45
125	folded	110	3.78	37.6	9.7	0.320	0.442	3.78
126	re-read	133	5.06	37.6	9.1	0.292	0.483	3.56
127	behavioural	157	3.32	37.6	8.7	0.268	0.528	3.32
128	outage	163	3.26	37.6	8.6	0.263	0.539	3.26
129	root-caused	213	4.28	37.5	7.9	0.224	0.629	2.78
130	surfaced	152	3.43	37.2	8.8	0.273	0.507	3.43
131	back-compat	384	1.54	37.2	6.7	0.139	1.000	0.80
132	merely	57	4.37	37.1	11.8	0.415	0.331	4.37
133	machinery	91	4.02	37.1	10.2	0.347	0.397	4.02
134	mid-flight	194	4.54	37.1	8.2	0.237	0.581	3.04
135	unmeasured	305	1.86	37.1	7.1	0.172	0.801	1.86
136	declines	144	3.53	37.0	8.9	0.281	0.489	3.53
137	incl	177	3.22	37.0	8.4	0.251	0.547	3.22
138	identically	225	2.76	37.0	7.8	0.216	0.633	2.76
139	untouched	158	3.42	36.9	8.7	0.267	0.509	3.42
140	disagreeing	212	2.90	36.9	8.0	0.225	0.607	2.90
141	grepped	392	0.00	36.8	6.6	0.136	1.000	0.80
142	forbids	192	3.13	36.7	8.2	0.239	0.564	3.13
143	precisely	81	4.20	36.4	10.6	0.364	0.363	4.20
144	bites	125	3.79	36.4	9.3	0.301	0.440	3.79
145	wall-clock	228	4.33	36.4	7.8	0.214	0.620	2.83
146	clobber	282	2.28	36.4	7.3	0.183	0.723	2.28
147	idiom	219	2.97	36.1	7.9	0.220	0.594	2.97
148	unverifiable	310	2.08	35.9	7.1	0.170	0.760	2.08
149	stamps	120	3.91	35.8	9.4	0.307	0.418	3.91
150	outranks	322	1.96	35.8	7.0	0.164	0.783	1.96
151	decides	95	4.16	35.5	10.1	0.341	0.371	4.16
152	argued	74	4.36	35.4	10.9	0.377	0.333	4.36
153	stranded	150	3.70	35.4	8.8	0.275	0.457	3.70
154	governs	214	3.15	35.4	7.9	0.223	0.560	3.15
155	caller	162	3.61	35.3	8.6	0.263	0.474	3.61
156	checkable	368	1.57	35.2	6.7	0.145	0.856	1.57
157	disagrees	208	3.25	35.1	8.0	0.227	0.541	3.25
158	unmodified	277	2.59	35.1	7.3	0.186	0.665	2.59
159	byte-identically	407	2.61	35.0	6.5	0.130	0.942	1.11
160	disagree	112	4.09	34.9	9.6	0.317	0.384	4.09
161	thirteen	135	3.89	34.9	9.1	0.290	0.421	3.89
162	withheld	199	3.36	34.9	8.1	0.234	0.521	3.36
163	re-reads	270	4.21	34.9	7.4	0.190	0.642	2.71
164	mid-run	215	4.74	34.8	7.9	0.223	0.543	3.24
165	unsatisfiable	394	1.35	34.8	6.6	0.135	0.897	1.35
166	walked	49	4.67	34.7	12.3	0.437	0.275	4.67
167	drained	164	3.69	34.7	8.6	0.262	0.459	3.69
168	knob	187	3.49	34.7	8.3	0.243	0.496	3.49
169	silently	180	3.58	34.5	8.4	0.248	0.479	3.58
170	widens	264	2.84	34.5	7.5	0.193	0.618	2.84
171	loses	117	4.11	34.4	9.5	0.311	0.380	4.11
172	verdicts	261	2.89	34.4	7.5	0.194	0.609	2.89
173	measured	101	4.25	34.3	9.9	0.332	0.354	4.25
